咪咕体育,#genre#
 07/24 21:00_雨果男单光速晋级 美和一日双赛全胜_雨果男单光速晋级 美和一日双赛全胜_3号桌,http://one.loiey.top:55488/migu/956347832.m3u8?migutoken=5f507d0ecec8e1e30178d70a49c57e6e7cce268cea95eb833258656d9c7c756d4be7b104ee57d3f4a14d30789e6f1dd2a7924bdfa81319e670a62c771598f0fc1862e541de480775d3c33fc5
 07/25 01:00_拉杜卡努晋级 大威止步第二轮_拉杜卡努晋级 大威止步第二轮_清流,http://one.loiey.top:55488/migu/956346057.m3u8?migutoken=0beb1140727378912e974cf08ac598caae65ee3042b056f5eca2af30989f2f2b32142050d431459b804f5c7701c2ff7e8f28bbf577d669c281a3ecbcdcbca3f8dddcc210348af83ccd00bfb0
 07/25 01:00_拉杜卡努晋级 大威止步第二轮_拉杜卡努晋级 大威止步第二轮_英文原声,http://one.loiey.top:55488/migu/956346074.m3u8?migutoken=ad64eabfd6a408a9aa4407d2e95e9031a7594ca21cb014d9e45a6ae1866ab18d714156188614754dd2b76d3e20aa3562db3815d2f708ec6ac86efd37a360ab22c8fa203b82a136c49271ddb0
 07/25 09:30_“林丹杯”羽毛球公开赛（西安站）小组赛 王高伦、赵俊鹏出战_“林丹杯”羽毛球公开赛（西安站）小组赛 王高伦、赵俊鹏出战_西安站,http://one.loiey.top:55488/migu/956581810.m3u8?migutoken=f3be0d27a2fc824a4dcde9c80804aa5977dbda76f5aea2594c88fdccfa2dfcf6c7dd9e0f3e060b1945b25bd3d307221c734316f142493d0aab80a9443208a7dd687b76843cf5b1e6f0db6350
 07/25 10:30_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_周冠达,http://one.loiey.top:55488/migu/956554192.m3u8?migutoken=2e976b3b5db1d26e16ff64b2624049a8aeb16961e03731a8e0157c5ed76ad6d75985b5a2e56f6a4dedaf41cd61a838adc14514973ff51adc173760676135c110fd3905268b599cd0edbfd6ac
 07/25 10:30_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_1号桌,http://one.loiey.top:55488/migu/956554123.m3u8?migutoken=07064a1fa838d9e22d0c3fce2286d63d61d61fad9824b090212d501cdb8cc04295a1f87c899637c5e3407e7d2e9d97a50f331759f7300a4fbd44ddcf3d231602b538ed625b7e44c2b2c7de51
 07/25 10:30_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_2号桌,http://one.loiey.top:55488/migu/956554135.m3u8?migutoken=3cc18c8d2684128028d480d5be0131cec03426b6d30c402e051abbdd72337f70bfcf431db3a9c22021c5beab4ad59a193cbc22a1457ea2047c946b9952c792ad28f2429b89ccb436cf406b3a
 07/25 11:20_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_孙颖莎/平野美宇开门红 樊振东3-0林诗栋_混采区,http://one.loiey.top:55488/migu/956554060.m3u8?migutoken=5777e3c36c54c74fd5c28ce941017c7649fb6f5903fa9ebd1093cf3bf6a10ba654fd32e0fa2e2ad8edcb78ce35688dc881500efdc9339b183fcf0fb27a7ea98b435476319a0a5cf9390b9c92
 07/25 13:50_贵州村超20强决赛_贵州村超20强决赛_分省,http://one.loiey.top:55488/migu/956503642.m3u8?migutoken=35ecf46d10ceabf2c5746619a8193842ba4257198a449a57fa241f8d736eb447a225558b8cc994158d5f9e5d008b5f9195e67d53746fa0aa16f37c152db5cb40f2991c27f32c3129fec2f797
 07/25 14:50_CBA选秀大会训练营汇报赛_CBA选秀大会训练营汇报赛_清流播出,http://one.loiey.top:55488/migu/956503608.m3u8?migutoken=909e945b7a9df7aa4e51972547147f06cc2e9fce5151cbf3f2a5ee5fb01d3e9c5431e1f96f16b59e1902bb8f14afc0d9683077876d7e61410baeb6d6fb841645a2d0576ebadd0faf9d23a231
 07/25 16:30_EDG vs NIP_EDG vs NIP_官方解说,http://one.loiey.top:55488/migu/956381546.m3u8?migutoken=64116310c6892ea8ce869d57a2a9295e32be458eeb35bf37d32334c3b192f677eb8247078532c27c2f5a012097a5d8d79c272fb607856a38c22f04a7f36aa5e27a6d0e7142e485e4861118d1
 07/25 17:00_王欣瑜补赛 若晋级对阵诺斯科娃_王欣瑜补赛 若晋级对阵诺斯科娃_清流,http://one.loiey.top:55488/migu/956345196.m3u8?migutoken=1491661c3a2bb23b9b3b3d2f3d5c11edd50b7d18da2a581c7d2d4ece4493222cafaf040c0326c893d270cfd836a7bc79e7c1e2e951ac1b6ab04b08b978f05038cdb7fe66bbf26e36c63b8d3b
 07/25 17:00_王欣瑜补赛 若晋级对阵诺斯科娃_王欣瑜补赛 若晋级对阵诺斯科娃_英文原声,http://one.loiey.top:55488/migu/956345210.m3u8?migutoken=fb1691a385ba99c9ef0096534cd6ebfe9336b49f91ddfeb5bf5a67a15741d93e9bf37d2f7d14fc5b609e50437375c5106b426dba1b6450e47b9747d8c96f486bd33fdb12ed19ae65de3f2869
 07/25 17:00_王欣瑜补赛 若晋级对阵诺斯科娃_王欣瑜补赛 若晋级对阵诺斯科娃_单文强,http://one.loiey.top:55488/migu/956614262.m3u8?migutoken=b3df8cad8179f53555bdad71dad96f1c84db7614408424db3c989f141a4747bc88703007b710899ab638d843551d1113e6fa84d812eb6d90f88cfa26b047588c5c7ad3a55197a98eb99df01f
 07/25 21:30_王欣瑜补赛 若晋级对阵诺斯科娃_王欣瑜补赛 若晋级对阵诺斯科娃_单文强,http://one.loiey.top:55488/migu/956614394.m3u8?migutoken=43f85091c282304bb7f3a0773d62758a2d7d4b41b5bcbbd957ba8511af40d0a84bb338d6ffa80d6eb4acf59aeafc7d44b646ecee5f4b3cbe72277ad0a2434323ca914b3e02c0d744cf6da513
 07/25 17:00_金娜英/柳韩娜冲4强 帕瓦德出战_金娜英/柳韩娜冲4强 帕瓦德出战_1号桌,http://one.loiey.top:55488/migu/956347701.m3u8?migutoken=78a39d487240a085c38a0b294508bf89d8bf8611f77525915cac42badbba69db25678efd5dd7959bdca139a9fd0398df14132d2f89310b3abca6e0141342b7190bc8bdbafe7e89e24cd1ec2f
 07/25 17:00_金娜英/柳韩娜冲4强 帕瓦德出战_金娜英/柳韩娜冲4强 帕瓦德出战_2号桌,http://one.loiey.top:55488/migu/956347757.m3u8?migutoken=c8d46ed3422e15818dc1ab7e2df72575b53cf6b400e22e1a6404f65363f666d5507e20b8d95988e184f52793db108144477b6d9259cb996a2b21c12ecf9a151fdbee0ce908fbcf4ae9c07ebc
 07/25 17:00_金娜英/柳韩娜冲4强 帕瓦德出战_金娜英/柳韩娜冲4强 帕瓦德出战_3号桌,http://one.loiey.top:55488/migu/956347790.m3u8?migutoken=30ed265348adb25636ef23fc5230798e08a6931b5fad525020e2b18dea07b4c8f1c56073cf7235ea7a11983c6bf1568c1fedb7c5271e9f4176701813abd7a6087108a8b4a645dac96574be74
 07/25 17:00_金娜英/柳韩娜冲4强 帕瓦德出战_金娜英/柳韩娜冲4强 帕瓦德出战_4号桌,http://one.loiey.top:55488/migu/956347815.m3u8?migutoken=307d6684d18488e5d00998dd04acfbcdc088927ac18e4a1252e79391d050bf15fcddf39155895ef7392ab7b8ac74a5681f804082a173bad8fb11695c945a5623fed0bcb46b697e3abb9aa39a
 07/25 17:00_金娜英/柳韩娜冲4强 帕瓦德出战_金娜英/柳韩娜冲4强 帕瓦德出战_英文解说,http://one.loiey.top:55488/migu/956347847.m3u8?migutoken=1aa06d051d0dda927eb22bddbcc5e89fb42d683a2eaeda2a07b2d28c52e0cf248c0e53b46d0e26b6956a45455a37457170ae3cda91b2f8cf57d6e2a6f2763c4ce7daaf816ce2fb23a2bb0582
 07/25 17:50_超三联赛 靖江赛区第2站 淘汰赛及决赛_超三联赛 靖江赛区第2站 淘汰赛及决赛_王冠证,http://one.loiey.top:55488/migu/956221302.m3u8?migutoken=99c8455117c2017eb2b3137d5835ac527669d02bab875f8f4e432631b60f10396447a0d9a56c524775ff577fad19d91283932bf5b3736225abc60a15eb92b0d8add2d20275333ca218ea7ef1
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_程靖淇,http://one.loiey.top:55488/migu/956554427.m3u8?migutoken=f762e9aa8dbf39b16cf00be7a7085243dc38abea65a6e351e9861497c27a672d7b8aa31b7872f36b3039877f6e1e2666d026022f76df7472eaa83f50c54ae4a3f611a77009e0691b0ef526da
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_侯英超,http://one.loiey.top:55488/migu/956554442.m3u8?migutoken=1bf5e9d2cbf8a3c72bab61dd01bf8da1a1c82172c1839318d183cf12e33235e37b3162fb6fec948c46290715ec52239fb677ddbd79860283e8f42e8c455a2e3789d996c71ab67dd557ab8cd5
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_小马哥,http://one.loiey.top:55488/migu/956554469.m3u8?migutoken=af136c1a9e8af5a201278d0afbfc87f579224d4c6ca97080a53438c7ce45d64177923da0d2ef4f6d797eae3e0f56b171d43943e5205c7de2760affc8eed30407307a5162dd6988548b7f0a15
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_1号桌,http://one.loiey.top:55488/migu/956554368.m3u8?migutoken=eca23cdcc8b01071a52164498808176318455f5a04466a55f0b494679300aad67b84725051fea13a9cdf47250326017b78968681775eeb689a394c1d79717318646f6f111d139321e949fae3
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_2号桌,http://one.loiey.top:55488/migu/956554381.m3u8?migutoken=0e73cd38d5bfa04a413d3a45138c309cc2c0079d65a6d96cb3468863787259c93fccdf6ef09f23909af7855ef6f37bd8f75d4c3c2756b8d89cfd787e4694c6dbb085ead70addfff2a244099a
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_3号桌,http://one.loiey.top:55488/migu/956554399.m3u8?migutoken=cf888ebb9be966cbde0a9f3d93bdc1544e70eec64016ebdeff33236683b09ad95b7fc1b46a766b7a3d78fec4ed0c5cba62ee29d72d44e011547fe2a4e19dbac926b28faf7a2f0b1cb877aa29
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_4号桌,http://one.loiey.top:55488/migu/956554408.m3u8?migutoken=bd84149cbc1facd773c30b32c7082bb8464a509dab3b7d25252e4abbc8a1dea650cbd99ca3007d5d8595d6938bed529fadccc41a8146488f7be6470136eb6609db1a903083c4bfce8bfae070
 07/25 18:30_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_5号桌,http://one.loiey.top:55488/migu/956554415.m3u8?migutoken=b395651e4a6dd84c16181371cad9b1cfb0860949839c3dd5f5a81c40a2d220f24ef03fe64dff4fdcd7a1b61239eb7c489a5b09d4562a5427556c41aa75affd56913032682315f8a1e2866434
 07/25 19:20_樊振东、许昕领衔上海地产迎战江苏中超电缆_樊振东、许昕领衔上海地产迎战江苏中超电缆_混采区,http://one.loiey.top:55488/migu/956554304.m3u8?migutoken=0cae85265b05a7395b3dd50b6853c49817f4de5d1129c110bfd399b447904603ec30c806e3be617e6e7d2fff88d32e50d674ee7a495dcdd5c3f97efb8500ea12985fef57ff72dba234d616ce
 07/25 19:00_LGD vs LNG_LGD vs LNG_官方解说,http://one.loiey.top:55488/migu/956381944.m3u8?migutoken=1baa9bbc195aec76533fee086e130f6fd99d6b234d337d32e2b5aba72a591ebf84d6b8bf616ab9d35d3c4b6a592b1ed4e2774205d24976dd3fdb354c4d9c904f9834bc17c276484dac4b0639
 07/25 19:20_NBL_江西鲸裕清酒vs长沙勇胜_解说,http://one.loiey.top:55488/migu/956173143.m3u8?migutoken=4b3d47d4d2e20dc80985ebaa7f25bae20e67aa5bcd2985945269329c9215143626d9951c48e88c4f7618c69405549fea63a3b7641f929e36753a931af70503597314e85af8d48e63399f0f71
 07/25 19:20_NBL_江西鲸裕清酒vs长沙勇胜_现场原声,http://one.loiey.top:55488/migu/956173165.m3u8?migutoken=47d487cc2fef9e7d44463d22d75c35b14b5fd3acaeaf97138881804fb0e56a9b0fe5535036e2771a37706c239ec3cd423199eff668e46848272c72a1149a3884880ba60166f6ac2495427a55
 07/25 19:20_NBL_广西威壮vs湖北文旅_解说,http://one.loiey.top:55488/migu/956173178.m3u8?migutoken=2908a07777ef1e428c93d15a22883b2e10f69e515d91b9c350120a76ec6d2fb40eb1ae1dd793b7e29f46f6916d7bc28e96b5b11a218b5e934ac8a3e89c8091fdec69522a48d7a53f79c96442
 07/25 19:20_NBL_广西威壮vs湖北文旅_现场原声,http://one.loiey.top:55488/migu/956173185.m3u8?migutoken=73e52dae57425f62df19ae8b3549a3b9633d24b562ddbf20567fbd9a04c4f763011f7478f992c67dd20e375980bae57029c85b7078b6d10eb890e5c53b028051bd35a76910bf60a6a9ef6f64
 07/25 19:20_NBL_香港金牛vs盐南苏科雄狮_解说,http://one.loiey.top:55488/migu/956173202.m3u8?migutoken=b70c8844e079f93b639f61784265e41568ff81bc1e434cab1eab408942a70a26c91e0b9af09b632902874fc72800a6efd2bb623c151b1cca47e174c3ece13967d67680b2708e8aa1822a0299
 07/25 19:20_NBL_香港金牛vs盐南苏科雄狮_现场原声,http://one.loiey.top:55488/migu/956173213.m3u8?migutoken=a1fe4d9f69f163e658a0261e1017cf05a5f5400cc9995a5fe1c1bd32102c12325d09ac1e02c5437d3952d626b98e4628adb34ee2b50b80466e8c9f8b76ac0d8813b7d3ce331a8b746ca42681
 07/25 19:20_中国男篮系列热身赛_中国vs委内瑞拉_邵化谦 孔德昕,http://one.loiey.top:55488/migu/956546514.m3u8?migutoken=e7104299099170545e1455e40dc14fd8fc1140d451beba3028f7ef7fa58c3949bf1dff4fa7a5ee3285c67b1cbc6c2699f9bdbf433e2951810409042209086f35c5a00147e9014ef606a003d4
 07/25 19:20_中国男篮系列热身赛_中国vs委内瑞拉_现场原声,http://one.loiey.top:55488/migu/956504244.m3u8?migutoken=1b221e9a1e740855edd84e71e659ffb72bedb831b09039da51eb993331fc3577ec640d9fb4ce5a00d105a739247f4d51f7b2df5f37c89b54c280927b14f55ed75725bef5a4e156130ca33a81
 07/25 19:45_2025斗阵·泉BA篮球赛 池店赛区 DAY2_2025斗阵·泉BA篮球赛 池店赛区 DAY2_2025和美乡村篮球赛: 台商洛阳VS惠安黄塘雅诺斯，晋江西园·绿叶VS晋江池店,http://one.loiey.top:55488/migu/956554633.m3u8?migutoken=6914cfcdb0e85bffd28ac80d97ad3f8f9376258c85b151958bad880d42d5f8c3ff62ede0fc96fbd9c152a8a583c928d7dc00e873d2313a594827d3d70f94040447504897db4bc229f22dbad5
 07/25 19:45_2025斗阵·泉BA篮球赛 宝盖赛区 DAY2_2025斗阵·泉BA篮球赛 宝盖赛区 DAY2_2025和美乡村篮球赛: 南安溪美VS丰泽北峰·商会，南安省新VS南安石井,http://one.loiey.top:55488/migu/956554662.m3u8?migutoken=6d03149c47348a6ad3a8d93a930e16f54f03f5ae8135ae435a150c1d61d8577e226bdcc9c7c6989a2e38f47b842ace86ca6def63775822d6177665f59e75917a8c130de1ef2fda5468dfdb0a
 07/25 21:00_美和一日双赛 雨果冲八强_美和一日双赛 雨果冲八强_1号桌,http://one.loiey.top:55488/migu/956347944.m3u8?migutoken=8cf9daa21b58ba667cd2589cce2aca016b2cedcf7b2ec2837461bb4149e360e0c26f4000d95e59f8a82061996752e5dece5e7f1213daaf2ce31e97ff3e8ba82629c1d4ec5fc178faff828a84
 07/25 21:00_美和一日双赛 雨果冲八强_美和一日双赛 雨果冲八强_2号桌,http://one.loiey.top:55488/migu/956347971.m3u8?migutoken=1284a7a48a6bcabcbd7fbc7760e16769ac7f3fc999e4c3a2c6af4f3189d8fbae65010108f2de4d26d62179430d39e8758612ff18ca4e69e8708d9c0e2fb0448904f4526a8d33e40c074c7dfd
 07/25 21:00_美和一日双赛 雨果冲八强_美和一日双赛 雨果冲八强_3号桌,http://one.loiey.top:55488/migu/956348014.m3u8?migutoken=5ff106df7a3eeaa476aebb0a9d575767bfd93706b65eaf3f762de2e279e6d2693d20e681b293a321f3689d8ee4f24fb3341e0ca8075300f0a260934d75fe129f63f1cbd5fbdc4547c080f1d5
 07/25 21:00_美和一日双赛 雨果冲八强_美和一日双赛 雨果冲八强_4号桌,http://one.loiey.top:55488/migu/956348036.m3u8?migutoken=d086adc6c8e454bc091a44c553a44a5738f3201ae80fa745a01d4275df79b411a229dcd6a5d0fcfe5859056f4eac89bbbeb06c284ebc58cf10860a70e34d3b01447b7ac805c0b12580ab352b
 07/25 21:00_美和一日双赛 雨果冲八强_美和一日双赛 雨果冲八强_英文解说,http://one.loiey.top:55488/migu/956348041.m3u8?migutoken=ea15a6cf1878cbb51dc07192399a6eb02913062b42e78bc60261a613bd7a81779ea41092a0fe3ce78aa9859d5c4c4a4b4bb6418a5317d1d031e12cefd7f5651bf21dbe19333226d21b3c87d3
 07/26 00:00_拉杜卡努迎战萨卡里 莱巴金娜冲四强_拉杜卡努迎战萨卡里 莱巴金娜冲四强_清流,http://one.loiey.top:55488/migu/956346092.m3u8?migutoken=fa29453f66a470324528dd71a3e2816eae5138379074c692b692369caf57f6d9ff12db97577b593fc9a7a4357d31adff0b98749acaaf1c6da4ff8cea9515173375d386112bb05df0c8d2c978
 07/26 00:00_拉杜卡努迎战萨卡里 莱巴金娜冲四强_拉杜卡努迎战萨卡里 莱巴金娜冲四强_英文原声,http://one.loiey.top:55488/migu/956346104.m3u8?migutoken=2f306e7f88cfc141be47721c9281a31a05c0b4f9918597553f566faea019f50c3aacf6cd92e83a93d226934276101f19f5c518f728a2ab957332f326ac582f8c71dead792fb0ce6b46fb13c8
